team,year,early_wins,mid_wins,late_wins
Adelaide Thunderbirds,2008,75.00,50.00,80.00
Adelaide Thunderbirds,2009,75.00,75.00,80.00
Adelaide Thunderbirds,2010,50.00,75.00,80.00
Adelaide Thunderbirds,2011,40.00,50.00,25.00
Adelaide Thunderbirds,2012,75.00,75.00,60.00
Adelaide Thunderbirds,2013,75.00,100.00,100.00
Canterbury Tactix,2008,50.00,50.00,20.00
Canterbury Tactix,2009,25.00,25.00,60.00
Canterbury Tactix,2010,25.00,0.00,0.00
Canterbury Tactix,2011,0.00,20.00,0.00
Canterbury Tactix,2012,25.00,0.00,25.00
Canterbury Tactix,2013,25.00,25.00,0.00
Central Pulse,2008,0.00,0.00,0.00
Central Pulse,2009,0.00,0.00,20.00
Central Pulse,2010,0.00,0.00,20.00
Central Pulse,2011,0.00,40.00,25.00
Central Pulse,2012,50.00,40.00,25.00
Central Pulse,2013,50.00,40.00,100.00
Melbourne Vixens,2008,75.00,75.00,60.00
Melbourne Vixens,2009,100.00,100.00,80.00
Melbourne Vixens,2010,100.00,20.00,25.00
Melbourne Vixens,2011,66.67,50.00,60.00
Melbourne Vixens,2012,100.00,40.00,100.00
Melbourne Vixens,2013,100.00,60.00,60.00
New South Wales Swifts,2008,75.00,50.00,100.00
New South Wales Swifts,2009,50.00,0.00,0.00
New South Wales Swifts,2010,100.00,100.00,100.00
New South Wales Swifts,2011,50.00,75.00,80.00
New South Wales Swifts,2012,50.00,100.00,40.00
New South Wales Swifts,2013,25.00,0.00,60.00
Northern Mystics,2008,0.00,75.00,40.00
Northern Mystics,2009,25.00,50.00,0.00
Northern Mystics,2010,50.00,60.00,50.00
Northern Mystics,2011,80.00,50.00,75.00
Northern Mystics,2012,75.00,80.00,75.00
Northern Mystics,2013,0.00,20.00,0.00
Queensland Firebirds,2008,75.00,75.00,20.00
Queensland Firebirds,2009,50.00,50.00,80.00
Queensland Firebirds,2010,25.00,75.00,60.00
Queensland Firebirds,2011,100.00,100.00,100.00
Queensland Firebirds,2012,25.00,80.00,50.00
Queensland Firebirds,2013,100.00,75.00,40.00
Southern Steel,2008,50.00,25.00,80.00
Southern Steel,2009,50.00,75.00,60.00
Southern Steel,2010,50.00,50.00,80.00
Southern Steel,2011,25.00,40.00,25.00
Southern Steel,2012,50.00,0.00,0.00
Southern Steel,2013,25.00,100.00,20.00
Waikato Bay of Plenty Magic,2008,75.00,100.00,60.00
Waikato Bay of Plenty Magic,2009,75.00,100.00,80.00
Waikato Bay of Plenty Magic,2010,75.00,100.00,40.00
Waikato Bay of Plenty Magic,2011,100.00,50.00,80.00
Waikato Bay of Plenty Magic,2012,0.00,100.00,100.00
Waikato Bay of Plenty Magic,2013,66.67,40.00,100.00
West Coast Fever,2008,25.00,0.00,40.00
West Coast Fever,2009,50.00,25.00,40.00
West Coast Fever,2010,25.00,25.00,40.00
West Coast Fever,2011,25.00,25.00,25.00
West Coast Fever,2012,50.00,0.00,25.00
West Coast Fever,2013,50.00,40.00,25.00
